,5,-7,-13,18,-8,-11,-15,30
,-2,-4,8,-66,-39,-20,4,-2
,-5,-3,-10,15,16,-3,17,-9
,0,1,5,12,-3,-1,1,-15
,-1,-2,-1,-5,-1,8,-46,8
,-1,0,-2,21,5,-1,6,8
,-2,-3,-8,-9,-5,-14,1,-3
,9,5,4,-3,-1,12,-13,20
,-5,4,5,25,14,-5,27,-18
,-7,-9,-5,-29,-11,12,-15,2
,-3,3,2,18,1,9,-12,-9
,3,1,2,-14,-8,-7,18,19
,9,6,0,14,6,11,-36,7
,1,0,-4,-12,5,-11,32,5
,-11,-6,-3,-9,-11,-18,-4,-30
,2,-5,-7,14,15,27,-23,11
,-8,-6,-1,-22,-17,-9,22,-10
,3,4,9,38,16,12,8,-4
,7,2,-8,32,12,-18,8,18
,0,-2,0,-81,-49,-4,-50,-10
,-2,-2,0,-3,1,-11,21,9
,5,2,-4,14,13,14,3,-4
,5,-5,-9,-10,-2,-2,-16,31
,-3,0,4,31,10,-9,-35,-18
,1,1,2,-19,2,20,45,-2
,24,6,-1,-14,-9,7,-22,51
,1,2,4,0,3,6,5,3
,-8,-5,-8,-12,-4,0,25,-8
,-8,-3,-1,24,12,-10,-3,-15
,12,9,12,14,4,1,-4,10
,-1,-7,-9,9,6,12,59,47
,-19,-7,-1,-21,-12,-5,-36,-36
,4,-3,-2,-28,-24,-24,-13,-8
,-1,-2,-1,2,6,58,-22,-3
,0,1,0,-8,2,0,-4,-16
,14,5,0,1,6,-4,23,33
,5,4,7,16,7,1,31,16
,-27,-15,-15,-23,-9,-13,-15,-49
,1,3,6,40,12,-7,-10,-20
,-5,-5,-6,-5,-4,-3,18,-2
,-3,-1,-2,-15,9,-2,-14,1
,5,2,-4,-10,-8,-7,-28,6
,-7,-2,-2,14,6,-4,-11,-22
,9,2,4,-10,1,-9,14,8
,0,-1,-1,10,-7,-6,2,10
,-15,-9,-1,32,11,-8,16,4
,2,0,-8,-85,-36,1,7,-8
,1,1,5,20,9,-4,24,7
,-9,-7,-10,9,4,6,-38,-24
,-4,1,5,-2,1,11,3,-26
,11,0,2,-1,3,-5,-8,18
,6,5,4,21,2,-3,34,14
,-13,-3,-1,35,13,7,2,-28
,4,0,2,-51,-27,-14,1,15
,-13,-7,-4,2,-1,-1,27,-9
,1,3,-1,3,9,-13,-33,-13
,12,3,0,-17,-6,13,6,32
,-8,-3,-3,-2,-2,-22,-15,-17
,-5,-1,1,-2,-3,3,15,-3
,-5,-2,0,0,-2,6,3,-11
,0,1,-1,0,0,-7,12,9
,12,9,3,15,14,16,24,13
,-11,-10,-3,7,0,-8,-8,-1
,-1,-3,-6,4,6,-8,0,-6
,1,0,1,-7,-2,4,-54,-4
,0,-4,-2,-10,-20,-12,31,6
,-2,4,0,9,7,5,-29,-16
,4,-2,-1,0,-2,-2,-42,7
,2,-1,-1,-17,-19,-4,3,-5
,3,-2,-4,8,-2,-16,-3,18
,1,-4,-6,-19,-13,-6,-3,-3
,-9,-6,1,-10,-1,11,16,-1
,-12,-8,-7,-8,-8,-8,-19,-18
,-3,-2,-3,11,8,-1,-9,-7
,2,4,8,-19,-6,25,0,-2
,-1,1,-8,19,14,4,5,-2
,5,-1,8,-3,-6,-14,26,27
,-5,-3,-6,4,0,0,-3,-8
,-2,-3,-5,14,4,2,-5,-9
,-8,-4,-4,-35,-17,-5,0,3
,-8,0,-3,32,17,16,23,-28
,9,0,-1,-11,1,-13,22,38
,3,3,10,15,5,5,-11,26
,-1,1,-1,19,10,4,9,-7
,8,2,0,-24,-3,-4,-20,4
,-6,-4,-2,38,8,9,22,-4
,-8,-2,-10,-56,-16,10,-9,-40
,8,6,6,-1,-9,-6,-6,23
,-13,-10,-11,16,10,-1,-24,-17
,2,2,-1,14,11,6,-1,1
,2,1,4,-22,-22,-14,0,0
,-11,-8,-4,9,3,-8,-4,-35
,10,2,0,-15,-9,3,1,28
,2,2,0,6,3,-2,2,-13
,-1,0,0,-2,0,3,-8,-21
,-4,-1,-1,8,6,30,-6,18
,-2,0,-5,1,3,-4,21,-3
,-8,-4,6,-53,-32,-18,-2,-19
,4,-7,-9,5,2,-2,-19,33
,-2,2,0,32,4,-8,-12,-21
,-3,-1,5,-26,-12,1,15,9
,1,0,-6,7,15,4,-34,8
,-8,-1,2,11,-7,-24,-15,-24
,1,0,-7,-10,-7,2,16,3
,0,2,-5,35,10,-14,-15,-12
,-14,-10,-8,-61,-43,-43,-32,-18
,6,0,4,8,3,-3,-22,14
,-3,-1,-2,-20,-6,8,9,-12
,10,3,1,1,-3,-2,25,19
,2,1,-2,6,5,8,9,-7
,-1,2,3,24,20,5,16,9
,-9,-6,-4,-9,-10,-41,-12,-35
,6,1,0,-10,0,11,-14,-6
,4,0,3,10,-5,1,-1,19
,-1,-3,-6,10,6,2,-36,1
,-1,2,1,-4,2,-23,-1,-4
,-1,1,10,6,-8,-2,-2,-3
,-13,-5,-5,19,11,10,13,-11
,0,1,-1,15,10,-6,6,7
,16,4,5,-43,-25,6,7,27
,-4,-5,-3,17,14,2,15,2
,-1,0,0,12,4,5,-11,-4
,-11,-3,-2,-14,-10,-8,4,-40
,6,-3,-2,25,17,22,33,28
,-20,-7,-8,-28,-19,-32,-51,-22
,2,-2,-3,-12,-5,-2,-22,-12
,-3,-3,-3,0,3,4,15,-20
,14,6,4,17,14,35,5,36
,-7,-4,-4,22,16,6,20,-15
,-5,-1,-2,-63,-17,-2,-14,-18
,4,3,4,20,4,15,18,20
,1,-2,-1,4,2,-12,-17,-18
,27,10,5,-5,-4,1,21,66
,-10,-5,-6,15,12,10,-1,-28
,2,-3,-3,-14,-13,-18,-24,13
,-16,-7,-4,6,0,-4,-29,-10
,-5,-5,-6,-37,-8,1,16,-25
,11,3,5,24,2,-9,27,25
,11,3,6,-10,-3,31,14,39
,-8,-2,-4,9,1,-10,-30,-34
,-3,1,2,0,-1,4,17,-1
,0,-4,-6,28,11,0,-38,3
,-14,-3,0,-14,-10,-9,15,-27
,-1,-10,-9,-63,-35,-15,-15,-6
,-2,3,5,20,9,16,9,0
,-12,-5,-9,13,-6,-70,1,-11
,-6,-6,2,-4,-2,2,-11,-13
,-15,-7,-6,22,10,-15,-18,-8
,-10,-4,-5,-42,-35,-9,-13,-37
,14,7,5,25,3,-8,48,31
,-8,-5,-9,-9,-1,-20,-27,-11
,5,3,0,-26,-16,-4,-32,8
,-4,-3,1,5,14,9,-20,-10
,-6,1,0,32,17,11,16,-10
,8,0,-4,-39,-22,6,15,7
,3,5,5,20,11,-1,5,-9
,21,5,2,-9,-10,-12,-1,41
,-5,-6,-2,-4,4,23,4,0
,6,4,1,16,14,5,31,20
,-9,7,12,7,-11,-27,-16,-15
,-1,-3,-5,6,14,20,29,-8
,7,4,0,-34,-14,-29,-61,7
,-1,-3,-6,-2,3,15,8,-8
,-1,-1,-1,33,17,24,18,-5
,1,0,6,-2,-3,-20,-7,12
,-7,-4,3,-4,3,22,0,-21
,2,-2,0,-9,-8,-3,12,23
,4,0,-8,-16,-4,-14,6,3
,-2,-2,6,18,-3,2,0,-14
,-3,2,1,-3,-2,0,-52,-26
,16,3,2,12,3,-5,13,47
,-6,-5,-4,-7,3,16,5,-6
,0,-2,-2,-17,-11,-15,-3,2
,2,4,6,16,8,13,38,0
,-2,3,3,1,-6,2,12,-7
,3,-5,-1,3,0,-1,7,9
,-1,0,-3,1,10,-31,-28,-3
,5,-2,-3,-14,-16,8,16,16
,-22,-7,-7,9,8,-8,-38,-49
,-1,-3,-4,-23,-11,3,21,15
,-1,-2,-4,24,13,11,11,-1
,-4,-3,-4,-3,-2,-5,6,11
,-11,-3,-6,-7,-3,-18,2,-37
,2,-3,4,-27,-8,4,7,6
,-3,-3,-6,15,-1,22,4,7
,15,4,1,-43,-16,-47,-1,29
,-10,-10,-12,17,9,23,-8,-10
,-6,1,0,12,4,-6,0,-19
,0,1,-4,-23,-13,9,-8,-4
,-7,-4,-6,-4,-4,12,28,-13
,-11,-4,0,8,-5,-30,-13,-29
,9,3,1,-2,1,-10,-14,29
,-8,-6,-3,-1,4,-13,32,-18
,4,-2,-2,7,3,10,-41,7
,5,6,3,1,-1,3,5,-13
,-1,0,-1,18,9,12,-9,3
,3,3,5,-3,-6,-11,-20,6
,-7,-4,0,4,3,6,-16,-15
,18,7,8,-3,-1,13,28,37
,0,2,-1,32,19,-5,14,-2
,0,2,-1,-29,-27,6,-3,5
,-9,1,4,23,13,8,22,-18
,2,-7,-5,-11,-7,4,-24,23
,-13,-7,-2,2,-7,-3,57,-36
,15,4,3,15,17,5,-36,45
,-6,-5,-6,-17,-5,9,5,-26
,2,7,5,-7,0,-11,32,-5
,2,-4,-4,2,-1,-25,-64,22
,2,-2,-4,4,4,25,38,-1
,2,1,-2,20,3,-31,-8,-1
,-4,-9,-6,6,3,20,-5,1
,0,2,5,-53,-7,11,33,-13
,3,-1,-6,15,-1,0,-2,13
,2,0,-3,9,2,-4,-29,15
,-1,0,3,-45,-34,-21,-24,5
,-5,-1,-2,6,2,17,21,-12
,-4,-1,-5,13,9,14,-3,-18
,1,-3,0,-31,-10,3,-8,11
,-7,-4,-3,24,14,8,9,2
,-3,0,0,-3,-4,-3,-32,-24
,4,1,-1,-3,-8,-4,47,15
,11,4,0,0,3,3,-35,22
,-5,3,7,2,-2,-15,-37,-2
,-10,-8,-2,4,-8,-13,-10,-3
,-9,-8,-11,-6,-1,-12,-6,-36
,3,3,7,13,6,24,19,21
,11,0,-5,-21,-8,-14,-12,-2
,4,4,3,1,-4,26,-14,0
,-7,-7,0,1,4,-4,-4,12
,-23,-9,-5,6,7,27,26,-47
,5,0,-1,-18,-7,-4,-15,2
,4,4,1,19,5,-1,33,-9
,-2,1,4,-2,-2,0,2,15
,-7,-3,-4,16,4,15,-4,-10
,-3,-1,-1,-28,-6,-11,-3,-6
,2,1,-1,27,7,-4,30,8
,13,4,1,-3,3,17,1,31
,-5,-7,-5,-29,-14,-23,14,-23
,-2,2,-1,25,9,1,-49,-7
,3,-4,-8,-17,-6,2,9,16
,-3,-1,3,11,7,5,-2,-4
,3,1,5,19,8,1,23,3
,-8,-6,-4,-10,-6,-6,30,-2
,12,3,0,6,4,1,-32,28
,-12,-3,-7,-19,-13,-13,-1,-37
,2,-2,-1,-6,-5,-4,-5,4
,-1,-4,-3,11,7,13,19,-5
,-1,-2,1,-2,4,15,-4,18
,-6,-3,-2,-1,-3,-19,-13,-12
,0,3,3,-13,-14,-7,17,-16
,3,-3,-3,39,14,9,-11,14
,-14,-7,-3,-37,-16,-18,-21,-18
,-3,-1,2,28,8,-17,-10,-8
,11,7,6,-52,-13,6,-14,28
,1,3,-3,24,10,11,43,2
,-6,-6,-6,9,0,-14,-30,-3
,4,0,-5,-2,4,1,-2,9
,-9,-9,-8,-56,-26,16,-7,-28
,2,1,5,12,2,-12,21,6
,7,2,0,-13,-5,-3,4,8
,0,1,-3,20,19,5,-2,-5
,-2,-5,0,24,10,0,-6,12
,0,2,2,-24,-10,7,-37,-20
,1,-6,-5,-2,-7,-12,11,22
,0,3,8,3,-4,0,-8,-6
,1,0,-3,30,10,8,9,12
,-7,-5,-4,-25,-10,-11,13,-3
,5,4,1,36,18,6,-20,7
,-11,-7,-4,-37,-10,15,-2,-22
,5,2,-2,9,-4,-20,7,20
,-1,3,1,8,1,3,19,-1
,1,1,-1,13,6,5,-2,-18
,-9,-3,-1,-16,-3,-4,-13,-15
,16,1,-1,16,2,-11,-10,52
,-6,-3,-6,-13,-2,13,2,-16
,-11,-4,-1,-50,-35,-9,7,-11
,11,2,2,7,8,10,2,9
,-6,-1,-3,13,5,9,24,-11
,9,1,0,22,12,-9,14,30
,-6,0,-1,-9,-12,-1,-29,-17
,-5,0,-1,-13,-13,-8,-20,0
,-6,-5,-5,12,6,-12,-12,-3
,-12,-4,0,-24,-12,3,-12,-42
,4,1,0,5,4,0,34,20
,-1,-4,-1,-3,-3,-6,-12,5
,-4,1,-1,45,15,12,-1,-9
,-1,-4,-4,-82,-38,-12,20,-12
,-1,0,0,21,14,-17,11,6
,-9,-5,-4,-6,-6,-8,3,-10
,4,2,-1,5,6,8,11,-4
,-2,-5,-2,14,1,-7,7,4
,2,3,2,-2,2,-23,-82,-14
,18,9,5,6,4,47,27,32
,6,3,2,28,12,2,10,9
,-4,-2,-7,-24,-16,-7,-1,9
,-6,-5,5,-8,-13,10,33,-9
,-6,-5,-1,-9,-8,-22,-49,-11
,0,0,0,-14,-11,-10,-7,0
,-13,-4,0,42,26,10,8,-16
,6,-1,-6,-4,-5,-48,-15,8
,-3,-3,-3,-14,-11,1,-1,-27
,0,-2,-3,-31,-14,18,-44,13
,6,0,-2,18,7,-14,-11,17
,-3,1,-5,-7,1,-9,14,0
,-6,-6,-5,2,3,13,18,-14
,-4,-1,-3,4,1,-6,-28,-13
,-6,-2,-3,41,18,3,-13,-15
,5,1,2,-84,-42,15,15,3
,7,4,11,18,0,10,27,17
,5,-1,-3,-13,2,-13,-10,3
,-1,-3,-8,-17,-8,6,-14,3
,3,-1,2,25,15,15,15,2
,17,1,-2,1,3,-2,-6,65
,-10,-4,-3,-19,-6,-4,15,-26
,5,7,8,28,5,-3,-27,-4
,0,0,-3,13,11,17,34,7
,-31,-12,-6,-31,-8,-13,-53,-60
,3,4,4,10,5,9,24,1
,27,10,1,-4,-3,-37,2,77
,-20,-9,-9,21,15,45,-20,-41
