,1,-3,-8,6,3,0,-4,-2
,-1,-1,4,-8,4,0,10,-4
,0,-1,-3,-12,3,0,-26,-1
,1,0,0,4,15,4,11,6
,-4,-4,-6,-25,-28,-3,0,-7
,-1,-2,0,-5,2,-1,-1,6
,2,3,1,5,3,1,10,0
,0,1,2,8,1,1,0,0
,2,6,8,-21,4,1,3,-2
,0,-6,-15,33,-1,-1,-1,-1
,-1,0,6,-8,-6,-1,3,-1
,-1,-2,3,3,12,4,-6,-2
,0,1,0,-16,-5,-2,7,1
,-1,-2,-4,-14,8,0,-6,-2
,-3,1,0,22,-10,-6,5,-4
,1,2,5,12,-1,-1,0,4
,-1,-2,-6,1,-1,0,-4,1
,-1,-1,6,14,-3,2,1,-1
,-1,-2,-7,-34,15,-1,-4,-6
,0,-2,-4,-18,-19,0,-2,4
,-2,-3,-3,26,-5,-4,-4,-1
,0,1,3,-6,0,-2,-5,2
,2,-1,2,-7,2,1,4,1
,-1,0,-1,-13,-3,2,7,0
,1,-1,3,16,5,-1,-8,2
,-1,-1,-6,4,-12,-2,5,-3
,-3,-4,-6,-19,-17,1,1,0
,1,0,3,9,11,-2,-1,1
,-1,-1,2,58,-8,-2,0,-2
,3,4,5,-28,8,0,-4,0
,1,3,2,2,-1,2,2,3
,-2,-3,-4,-20,5,-2,-1,-5
,1,4,6,-2,5,0,4,1
,2,5,5,-16,-15,1,3,4
,-5,-8,-8,16,11,-6,-8,-6
,2,7,7,33,22,5,0,7
,-2,-10,-20,-19,-10,2,3,-3
,1,2,6,6,3,2,2,1
,-1,2,1,-41,-31,-2,3,1
,-1,0,1,-7,2,-3,-3,-4
,-1,0,3,19,3,-1,0,-4
,0,1,-3,18,2,-2,-7,-2
,1,4,4,-10,1,6,0,-1
,-4,-4,-4,31,19,0,2,-3
,0,0,-1,-26,-2,-1,-10,-2
,-1,-4,-11,-39,-16,-5,1,-3
,2,4,10,57,12,-1,3,5
,-1,-1,-6,-12,-10,3,-3,-2
,0,2,0,-22,15,1,3,-1
,-1,1,8,16,-2,-2,-4,-1
,-1,-1,-3,17,-1,0,-2,4
,1,0,-4,-8,-9,-2,9,2
,2,2,2,-12,7,2,1,1
,-2,1,4,17,17,-1,-3,-4
,3,-2,2,-4,3,1,-3,1
,-3,-9,-14,-17,-2,1,-6,-2
,1,5,9,-4,-10,-4,-2,2
,-1,-3,-1,21,5,1,2,1
,-2,-2,-7,-28,-21,-7,3,1
,3,4,10,13,22,1,3,4
,0,-1,0,3,-21,2,-1,0
,1,-2,-2,-9,-2,-1,7,1
,-1,-1,1,8,6,1,-6,-2
,0,0,-1,13,0,0,3,0
,0,-2,-2,-30,-5,-2,5,3
,0,-1,-2,10,0,-2,-6,0
,0,-1,1,-1,-1,-2,4,-3
,-3,-2,-2,22,-3,-3,-8,-7
,2,1,5,12,15,1,2,-3
,0,-1,-5,-40,-14,-1,0,2
,0,0,0,-8,6,0,-5,0
,0,-3,-1,-2,-2,-2,5,1
,-2,-1,-1,4,-1,3,-3,3
,0,0,3,15,11,2,-4,-3
,1,-1,1,6,-8,-1,6,3
,-4,-1,-5,-22,-1,2,-13,-3
,-1,1,-1,-6,-3,-3,-4,-1
,-2,-5,-1,14,17,7,7,0
,1,-1,-5,-35,-6,-5,7,2
,1,-2,0,19,-14,-4,-1,-4
,0,2,4,-15,10,3,0,6
,0,1,-5,4,-10,-2,-3,0
,0,1,9,9,20,3,0,1
,-1,3,6,-6,-30,-3,-1,-7
,0,-2,-7,7,30,0,7,-1
,0,-1,2,-32,-21,-2,-6,-2
,0,3,1,47,0,2,-1,-3
,1,-2,-1,8,3,-3,1,5
,-4,-4,-8,15,-13,1,-2,-10
,3,3,2,-13,-8,-4,4,3
,-2,0,-3,-13,3,4,2,-2
,0,7,11,0,4,-1,-7,-4
,0,-2,-3,-2,1,-2,4,2
,-2,-4,-3,5,7,-3,-5,-1
,0,-1,0,-4,-9,2,3,1
,2,2,2,-4,15,3,3,1
,-2,-1,-2,-1,-4,-2,-4,-3
,-2,1,2,12,-6,0,-3,1
,-2,-2,-4,-5,8,-1,-2,-2
,-1,-3,-4,-39,0,0,3,-1
,1,0,8,41,3,1,-9,1
,1,1,-1,-11,-4,-2,1,0
,2,2,-4,-28,-4,1,-1,0
,-2,-4,-3,36,24,1,8,1
,-5,-4,-5,-29,-32,-7,-7,-4
,-1,-1,-2,10,13,3,3,-5
,-1,2,5,9,-1,1,-2,10
,1,2,-4,-22,1,-1,2,3
,-1,0,1,-11,8,4,8,-1
,-1,-4,-4,36,-7,-4,2,-2
,-3,-1,-3,-25,3,-3,-5,-7
,1,-1,2,20,-5,-1,-3,2
,1,5,6,6,3,2,5,-3
,1,-1,-1,-11,8,1,-5,7
,-3,-4,-8,3,-14,0,-4,-4
,-2,-2,-1,1,3,-2,-3,-1
,-3,-3,-6,-17,-8,1,3,-1
,0,2,3,27,-2,0,-1,-2
,0,-3,-7,-22,-1,-2,-7,1
,2,0,5,12,2,0,-7,-2
,-1,2,1,-16,3,0,1,4
,-2,-3,-2,7,-10,2,-2,-1
,-1,-2,5,12,4,-4,3,1
,2,6,0,-18,-3,3,4,0
,-1,-5,-8,-19,7,-2,1,-3
,1,1,-1,0,7,1,-1,6
,1,2,4,28,1,0,2,-1
,-1,-2,-6,-27,-15,-4,-5,-2
,2,3,6,11,-4,1,3,0
,-1,1,-3,-24,12,4,2,-4
,-1,-5,-7,4,-9,-1,-3,-3
,-2,-1,-4,13,15,2,18,2
,1,0,-1,-28,-21,-5,-25,-4
,-2,-2,1,24,-5,1,1,-11
,3,5,6,-24,0,-2,0,15
,-5,-9,-13,17,-15,2,-3,-5
,-1,1,6,20,8,0,5,2
,-2,-2,-3,-16,6,-5,-3,-4
,0,2,2,1,-13,3,4,-6
,-1,-2,-1,-13,3,2,3,1
,-4,-1,-1,13,11,1,-18,-4
,-1,-1,0,0,17,-2,0,-2
,1,1,2,-4,-41,-3,5,-2
,2,1,8,7,14,-1,-7,2
,2,1,1,5,6,3,7,3
,2,2,-2,-19,-16,-3,7,3
,0,-3,-3,3,22,-2,-8,-2
,1,3,6,34,-7,1,0,0
,-1,1,1,-42,3,-3,5,-2
,-2,-5,-7,-37,-29,-3,-12,0
,-2,-2,-5,-13,6,1,13,-3
,0,-1,0,21,2,1,-2,-3
,2,2,5,-2,0,-4,2,3
,-1,-1,-2,33,18,1,1,0
,2,3,3,-1,3,0,-2,-1
,-1,0,-1,-32,-2,1,-2,-2
,-2,-3,-7,19,-12,-1,2,-5
,0,1,4,-11,7,0,-1,4
,1,0,1,13,7,3,-7,-1
,2,0,-1,3,-8,-3,8,-2
,3,1,1,6,4,5,0,4
,-2,-1,4,15,5,-3,-4,-6
,-1,-2,-1,-4,7,1,1,4
,-4,-1,-4,-17,-4,-1,-1,-2
,4,0,-1,12,-12,1,10,6
,-1,0,4,-22,-5,-6,-8,-3
,0,-3,-2,5,14,2,9,5
