,-23,-18,-33,-25,-4,2,-30,0
,2,13,7,-5,-8,-7,31,3
,-15,1,8,3,-4,-8,-26,-10
,11,-15,-7,8,9,-2,-5,-10
,-2,19,19,-63,-37,-18,-13,13
,-47,-39,-32,74,25,8,-35,-43
,10,27,13,6,11,-5,14,-14
,-7,-33,-12,17,-14,-11,23,46
,-9,35,9,-21,13,1,-24,-30
,40,10,25,1,-25,-8,-8,36
,-41,-51,-47,-28,28,17,27,-15
,37,49,20,-14,-1,-9,-38,6
,19,-37,3,50,0,1,15,-7
,103,56,51,-11,-3,12,-12,11
,-26,-4,-24,-21,-6,-5,19,27
,34,-24,-6,-7,9,10,-4,-7
,24,-23,-21,21,3,-10,-21,-1
,24,7,-12,-7,2,-4,-7,-14
,37,7,28,-10,-13,-7,5,9
,-62,-7,-7,-3,-7,-1,-9,-16
,29,-17,-16,37,4,7,24,24
,-38,4,7,-24,18,10,-8,-6
,38,5,-14,29,-6,-7,8,2
,-11,9,-11,-31,-18,-10,-26,-35
,3,37,41,42,21,12,-17,-9
,-60,-74,-25,-26,-15,-7,15,-4
,7,42,9,-34,-2,1,18,17
,-12,8,23,10,1,-1,-13,-22
,-11,-38,-45,-8,-1,-1,18,-2
,-11,20,5,-14,-9,-3,-1,12
,-30,-38,-6,13,-8,-3,-22,-19
,21,-17,-20,3,-5,-6,-2,-17
,-26,37,19,28,34,14,30,27
,3,23,-13,-36,-12,-12,-15,-22
,-5,-18,-11,52,3,-3,-23,-12
,25,-7,-6,-18,2,2,8,5
,33,3,-5,-10,-13,-8,-13,4
,-26,1,16,-22,-2,-1,26,22
,-30,6,-11,-31,-5,3,8,-7
,7,18,2,21,0,-4,-32,-36
,44,-19,-16,-36,-13,-10,-4,39
,26,43,22,28,-5,-1,1,3
,22,-23,10,0,-15,-2,20,-5
,4,17,-16,25,16,10,7,16
,-38,-16,-2,-16,-9,-6,-9,-17
,-3,3,-14,-23,-1,-5,-33,-29
,-5,-12,10,29,14,-1,23,-6
,-6,-30,3,-26,-16,-8,-6,19
,42,51,2,17,0,-1,3,0
,-42,-54,8,-5,-7,2,0,7
,29,40,10,-13,6,-3,-24,-28
,-42,-21,-2,13,-4,0,-7,-15
,-21,9,3,-1,-6,-7,5,29
,18,22,-11,6,6,4,7,13
,-50,9,-5,-38,4,8,12,12
,-33,1,18,50,21,5,4,-6
,-1,-19,14,5,-7,0,-10,-17
,-31,3,-23,-6,-6,-8,-50,-53
,24,21,9,-12,-9,-5,16,34
,97,19,-19,-26,-7,1,37,56
,-70,11,20,34,28,19,32,-6
,11,15,9,16,8,-1,1,-5
,46,-40,5,31,-10,-7,-39,-25
,69,19,-2,-48,-6,-6,-22,-29
,-40,-19,-20,19,6,-3,8,1
,-14,4,3,-33,-1,4,13,9
,-69,-7,2,66,-2,-3,-20,-41
,51,0,-9,-35,-3,2,31,60
,40,14,0,-11,1,-1,-48,-67
,-71,21,6,24,2,-5,40,57
,-45,-16,-14,-50,-3,9,24,27
,-31,-28,18,57,-5,-4,-6,-26
,-20,-2,5,6,-3,1,-16,-13
,18,-3,-13,6,-6,1,-12,-27
,19,-10,-2,-32,4,-6,15,31
,-22,-23,-2,5,7,0,-25,-33
,21,1,-3,-13,-5,4,36,28
,4,-20,-12,16,11,3,1,-18
,-5,24,30,40,-16,-9,-40,-28
,-26,-29,-46,-17,14,1,29,38
,5,-17,7,1,-13,-8,-14,-11
,1,7,16,-9,-1,-4,12,18
,19,-21,-16,-35,-5,9,8,-17
,-28,50,-14,-1,-9,-12,-25,-6
,-28,3,1,3,-5,-9,-22,-2
,24,-7,16,-34,3,6,30,20
,-21,-45,-26,6,-2,5,-20,-24
,24,11,5,-2,8,2,-15,-14
,-23,-11,-12,-23,-2,0,21,8
,-2,-36,-8,28,-2,-5,-3,-26
,14,35,18,30,10,4,15,22
,-7,-13,26,-11,-5,7,4,-11
,19,-11,-23,-29,-6,-3,-19,-25
,-1,3,-1,-31,0,-6,25,30
,-22,1,-8,40,6,-4,-6,0
,-59,20,21,11,4,7,8,14
,14,-36,-14,6,-4,-3,-11,-11
,-16,25,-12,-23,-9,1,-7,-26
,3,33,19,17,-1,-8,0,26
,-29,-33,14,11,0,6,21,16
,4,16,-13,-13,3,3,-17,-15
,8,-19,-3,-39,-12,6,24,37
,58,6,-28,23,2,-2,-26,-33
,18,19,14,15,11,0,-8,10
,4,15,4,1,-4,-2,9,18
,88,18,22,29,-18,-4,-15,-4
,-34,-8,-21,-22,23,10,9,-5
,25,-20,-1,8,-14,-6,-12,-17
,-38,31,18,-6,-4,2,13,21
,38,13,-11,10,19,5,-11,-14
,0,-20,10,-25,-4,-6,-13,13
,5,-5,-25,-24,-10,-12,15,3
,18,33,13,3,-3,-1,-20,-22
,-35,-42,1,34,-1,-14,-12,0
,44,22,0,-15,-5,4,7,7
,-45,-24,-10,-35,12,5,-9,-7
,52,-13,11,63,7,-5,6,5
,-18,16,-6,-14,-3,10,5,-3
,-19,-9,0,16,-13,-11,-25,-12
,48,2,3,1,0,5,18,5
,28,9,-6,-18,5,-2,-6,-24
,-43,-24,-8,10,6,-3,4,26
,2,20,24,24,3,4,32,21
,8,40,5,-42,-11,4,-18,-34
,-30,-52,-16,5,-21,-10,2,16
,-6,5,-11,20,14,1,-16,-14
,5,-1,4,-9,4,0,17,13
,-83,-8,-19,-14,-12,-8,-6,-18
,-47,-9,4,-16,2,3,-4,-5
,-5,32,13,-24,-10,-4,-17,-19
,-17,-11,6,35,2,-2,-6,5
,1,-12,-8,26,7,-3,13,20
,-15,-2,4,1,-4,4,4,0
,-25,-15,-14,-1,-4,-7,-2,4
,22,21,18,-17,3,0,-1,-11
,-8,-20,-10,0,-2,4,-14,-11
,21,18,1,-5,0,5,9,19
,11,-1,23,17,8,3,34,14
,-21,-26,-44,-43,-12,-9,-14,-15
,33,14,13,17,10,1,-11,1
,43,31,4,3,-6,-5,7,-8
,-29,-9,4,9,0,3,-7,10
,10,4,-3,-3,-6,-13,-19,-13
,-2,-13,-13,11,-1,8,35,35
,-19,-10,4,-19,3,0,-8,-9
,54,11,-16,8,0,-2,-1,-9
,5,-7,6,-18,-7,10,23,19
,-9,-6,-10,-16,-28,-14,-24,-24
,-29,-6,11,17,1,-1,-1,22
,-8,-30,-26,-6,16,6,-7,-15
,6,11,14,-4,-1,4,9,5
,-22,-6,7,16,5,-7,-16,-27
,36,9,-11,-6,-7,-1,4,29
,-8,-7,-5,-13,-11,0,15,1
,29,15,8,8,-2,-9,-25,-11
,22,14,10,-12,-10,1,7,19
,-5,5,3,12,13,5,8,-17
,-17,-7,0,-6,1,-1,-23,-29
,5,10,-5,4,2,4,41,35
,-12,-10,3,-11,-4,-6,-35,-45
,16,6,9,9,4,4,34,34
,24,9,-4,-8,1,1,1,1
,-33,-29,-24,-15,3,-4,-14,-14
,12,-9,-3,-29,-14,-7,-16,-15
,-11,-3,-12,15,5,-10,-17,-20
,13,15,27,8,-2,10,41,53
,-32,-3,5,7,-8,0,-14,-24
,45,22,-16,1,27,7,28,41
,-23,-4,5,-10,-3,2,-24,-34
